                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6288,                 2.2386,                 1.3903,                 0.5746,                0.31608,                0.36916,                0.19567,                    1.8,                 2.3121,                 1.6532,               0.070067,              0.0033259,              0.0033259
                      1,                 1.5425,                 1.2918,                 1.2874,                0.74657,                0.37374,                0.44012,                0.22655,                 1.8694,                 2.1988,                  1.438,               0.039935,              0.0065274,              0.0065274
                      2,                 1.5295,                 1.2016,                 1.2658,                0.87602,                 0.7037,                0.81548,                0.44114,                 1.5395,                  1.109,                 1.2821,               0.009671,              0.0095969,              0.0095969
                      3,                 1.5334,                  1.157,                  1.271,                  0.745,                0.57546,                0.64242,                 0.3072,                 1.8754,                 1.4322,                 1.4632,               0.009406,               0.009406,               0.009406
                      4,                 1.5047,                 1.0785,                 1.2525,                 0.8351,                0.63131,                  0.738,                0.42023,                 1.5244,                 1.2272,                 1.2863,               0.009406,               0.009406,               0.009406
                      5,                 1.4628,                0.99107,                 1.2299,                0.91024,                0.70875,                0.85368,                0.47972,                 1.5362,                0.99178,                 1.2441,               0.009208,               0.009208,               0.009208
                      6,                 1.4385,                0.91786,                 1.2076,                0.91068,                0.77441,                0.88664,                0.51643,                 1.4502,                0.91525,                 1.2241,                0.00901,                0.00901,                0.00901
                      7,                 1.4319,                0.89583,                 1.2085,                0.81671,                0.72391,                0.81431,                0.46034,                 1.4982,                 1.0012,                 1.3054,               0.008812,               0.008812,               0.008812
                      8,                 1.4037,                0.85494,                 1.1878,                0.89601,                0.82492,                0.91248,                0.54181,                 1.4333,                0.78973,                 1.2166,               0.008614,               0.008614,               0.008614
                      9,                 1.3858,                0.82339,                 1.1791,                0.88662,                 0.8162,                0.89821,                0.52547,                 1.4546,                0.82517,                  1.213,               0.008416,               0.008416,               0.008416
                     10,                   1.37,                0.80216,                  1.172,                0.90532,                0.83333,                0.91747,                0.53099,                 1.4331,                0.75114,                 1.2117,               0.008218,               0.008218,               0.008218
                     11,                 1.3561,                0.77624,                 1.1619,                 0.8886,                0.82997,                0.90851,                0.52115,                 1.4947,                0.84175,                 1.2363,                0.00802,                0.00802,                0.00802
                     12,                 1.3489,                0.76611,                 1.1596,                 0.8841,                 0.8468,                0.92483,                 0.5557,                 1.4006,                0.75037,                 1.1722,               0.007822,               0.007822,               0.007822
                     13,                 1.3228,                0.74252,                 1.1448,                0.88094,                0.82155,                0.90218,                0.54453,                  1.412,                0.76275,                 1.1992,               0.007624,               0.007624,               0.007624
                     14,                 1.3239,                0.73109,                  1.144,                0.88601,                0.82828,                0.90208,                0.52385,                 1.4779,                0.77646,                 1.2344,               0.007426,               0.007426,               0.007426
                     15,                 1.3165,                 0.7207,                 1.1429,                0.92585,                0.81986,                0.93234,                0.56847,                 1.3946,                0.72074,                  1.186,               0.007228,               0.007228,               0.007228
                     16,                 1.2921,                0.70019,                 1.1305,                0.92901,                0.89899,                0.95322,                0.57321,                 1.3719,                0.70695,                 1.1681,                0.00703,                0.00703,                0.00703
                     17,                 1.2908,                0.69338,                 1.1257,                0.91658,                0.86941,                0.93674,                0.56565,                 1.3902,                0.68192,                 1.1764,               0.006832,               0.006832,               0.006832
                     18,                 1.2843,                 0.6842,                 1.1211,                0.92318,                0.86994,                0.93977,                 0.5738,                 1.3821,                0.67482,                 1.1715,               0.006634,               0.006634,               0.006634
                     19,                 1.2856,                 0.6718,                 1.1197,                 0.9407,                 0.8813,                0.95657,                0.59432,                 1.3486,                 0.6472,                 1.1549,               0.006436,               0.006436,               0.006436
                     20,                 1.2606,                0.66087,                 1.1089,                0.90265,                0.82492,                0.90783,                0.56451,                  1.369,                0.71665,                 1.1677,               0.006238,               0.006238,               0.006238
                     21,                 1.2524,                0.65735,                 1.1051,                0.92215,                0.86532,                0.94374,                 0.5774,                 1.3496,                0.65124,                 1.1632,                0.00604,                0.00604,                0.00604
                     22,                 1.2522,                0.64675,                 1.1026,                0.91181,                0.86195,                0.94613,                0.58768,                 1.3787,                0.66086,                 1.1727,               0.005842,               0.005842,               0.005842
                     23,                 1.2381,                0.63521,                 1.0985,                0.92087,                0.91077,                0.95711,                0.58436,                 1.3971,                0.62133,                  1.161,               0.005644,               0.005644,               0.005644
                     24,                  1.238,                0.62929,                 1.0956,                0.94983,                 0.8771,                0.96126,                0.59607,                 1.3545,                0.60436,                 1.1449,               0.005446,               0.005446,               0.005446
                     25,                  1.234,                0.62384,                 1.0948,                0.93911,                 0.8828,                0.95417,                0.58841,                 1.3753,                0.60707,                  1.148,               0.005248,               0.005248,               0.005248
                     26,                  1.228,                0.61598,                 1.0907,                0.95417,                0.89226,                0.95847,                0.59847,                 1.3374,                0.59143,                 1.1208,                0.00505,                0.00505,                0.00505
                     27,                 1.2134,                0.60912,                 1.0873,                0.95015,                0.89848,                0.96235,                0.60008,                 1.3657,                0.59685,                 1.1493,               0.004852,               0.004852,               0.004852
                     28,                 1.2113,                0.60531,                 1.0855,                0.94408,                0.89731,                0.96159,                0.60008,                  1.329,                0.61689,                 1.1484,               0.004654,               0.004654,               0.004654
                     29,                 1.1973,                0.59249,                 1.0782,                0.95329,                0.89226,                0.95893,                0.60284,                 1.3094,                0.58203,                 1.1239,               0.004456,               0.004456,               0.004456
                     30,                  1.199,                0.59404,                 1.0791,                0.95472,                0.92287,                0.97113,                0.60885,                 1.3191,                0.59271,                 1.1435,               0.004258,               0.004258,               0.004258
                     31,                 1.1842,                0.57734,                 1.0639,                0.96115,                0.91919,                0.96935,                0.61271,                 1.3368,                0.57988,                  1.134,                0.00406,                0.00406,                0.00406
                     32,                 1.1816,                0.57359,                 1.0683,                0.94406,                0.92424,                0.96933,                0.60863,                 1.3123,                0.59124,                 1.1369,               0.003862,               0.003862,               0.003862
                     33,                 1.1681,                0.57116,                 1.0667,                0.95413,                0.92424,                0.97046,                0.61987,                  1.303,                 0.5732,                 1.1329,               0.003664,               0.003664,               0.003664
                     34,                 1.1579,                0.56447,                 1.0587,                0.95637,                0.92253,                0.97128,                0.60716,                 1.3177,                0.57439,                 1.1398,               0.003466,               0.003466,               0.003466
                     35,                 1.1577,                0.55866,                 1.0575,                0.96386,                0.91246,                0.96558,                0.61468,                 1.3077,                0.55795,                 1.1367,               0.003268,               0.003268,               0.003268
                     36,                 1.1648,                0.55432,                  1.058,                0.93965,                0.94613,                0.97279,                0.62797,                 1.2928,                0.54911,                 1.1281,                0.00307,                0.00307,                0.00307
                     37,                 1.1526,                0.55261,                 1.0573,                0.94057,                0.93248,                0.97204,                0.62499,                 1.2881,                0.55915,                 1.1278,               0.002872,               0.002872,               0.002872
                     38,                 1.1385,                0.54266,                 1.0503,                0.95933,                0.93603,                0.97986,                0.62243,                 1.3069,                0.55507,                 1.1278,               0.002674,               0.002674,               0.002674
                     39,                 1.1384,                0.53924,                 1.0515,                0.96469,                0.91987,                0.97565,                0.62762,                 1.3064,                0.55295,                 1.1281,               0.002476,               0.002476,               0.002476
                     40,                  1.124,                0.53397,                 1.0474,                0.94783,                0.94822,                0.97661,                0.63209,                  1.279,                0.54795,                 1.1185,               0.002278,               0.002278,               0.002278
                     41,                 1.1181,                0.52876,                 1.0385,                0.95742,                0.93098,                0.97515,                0.63191,                    1.3,                0.53578,                 1.1227,                0.00208,                0.00208,                0.00208
