                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2091,                0.60395,                 1.2238,                 0.9419,                0.90073,                0.95052,                0.60322,                 1.3132,                0.57242,                 1.2725,               0.007756,               0.007756,               0.007756
                     36,                 1.2184,                0.60674,                 1.2298,                0.92075,                0.91246,                0.95934,                0.60699,                  1.297,                0.57207,                 1.2636,                0.00769,                0.00769,                0.00769
                     37,                 1.2058,                0.59919,                 1.2174,                0.93942,                0.90067,                0.96345,                0.60802,                 1.3021,                0.57788,                  1.274,               0.007624,               0.007624,               0.007624
                     38,                 1.2033,                0.60043,                 1.2222,                  0.932,                0.89226,                0.95685,                0.61492,                 1.3188,                0.58256,                 1.2826,               0.007558,               0.007558,               0.007558
                     39,                 1.1982,                0.59585,                 1.2101,                  0.949,                0.90849,                0.96557,                0.60685,                 1.3306,                0.58242,                  1.289,               0.007492,               0.007492,               0.007492
                     40,                 1.1964,                 0.5936,                 1.2226,                0.92473,                0.92424,                0.96595,                0.61864,                 1.3096,                0.56533,                 1.2734,               0.007426,               0.007426,               0.007426
                     41,                 1.1819,                0.58716,                 1.2011,                0.94756,                0.89226,                0.96107,                0.62169,                  1.293,                0.56649,                 1.2492,                0.00736,                0.00736,                0.00736
                     42,                 1.1788,                0.57585,                 1.2008,                0.93177,                0.91969,                0.96551,                 0.6191,                 1.3054,                0.54282,                 1.2777,               0.007294,               0.007294,               0.007294
                     43,                 1.1879,                0.57661,                 1.2058,                0.94598,                0.91385,                0.96415,                0.61388,                  1.287,                0.56639,                  1.254,               0.007228,               0.007228,               0.007228
                     44,                 1.1773,                0.57207,                 1.2057,                0.93427,                0.90741,                0.96457,                0.62294,                 1.2997,                0.56848,                 1.2722,               0.007162,               0.007162,               0.007162
                     45,                 1.1689,                0.56563,                 1.1965,                0.95166,                0.91246,                0.96549,                0.61898,                 1.3121,                0.55134,                 1.2675,               0.007096,               0.007096,               0.007096
                     46,                 1.1678,                0.56817,                 1.1976,                0.95223,                0.89562,                0.96426,                0.61012,                 1.3003,                0.57317,                 1.2769,                0.00703,                0.00703,                0.00703
                     47,                  1.168,                0.57129,                 1.1986,                0.94061,                0.90662,                0.96139,                0.62201,                 1.2894,                0.56303,                 1.2526,               0.006964,               0.006964,               0.006964
                     48,                 1.1551,                0.55996,                 1.1909,                0.95144,                0.92363,                0.97388,                0.62654,                 1.2898,                0.54977,                 1.2563,               0.006898,               0.006898,               0.006898
                     49,                 1.1551,                0.56029,                 1.1869,                0.93605,                0.93637,                0.96375,                 0.6203,                  1.291,                0.55535,                  1.257,               0.006832,               0.006832,               0.006832
                     50,                  1.155,                 0.5573,                 1.1962,                0.93184,                0.92066,                0.95902,                0.61476,                 1.3047,                0.56022,                 1.2785,               0.006766,               0.006766,               0.006766
                     51,                 1.1509,                0.54956,                 1.1862,                0.94952,                0.91414,                0.97089,                0.62765,                 1.3007,                0.53925,                 1.2736,                 0.0067,                 0.0067,                 0.0067
                     52,                  1.139,                0.54563,                 1.1843,                0.93092,                0.93017,                0.96597,                0.61108,                 1.3247,                0.54585,                  1.281,               0.006634,               0.006634,               0.006634
                     53,                 1.1439,                0.54788,                 1.1801,                0.94458,                0.93266,                0.96942,                0.61362,                 1.3324,                0.55497,                 1.2713,               0.006568,               0.006568,               0.006568
                     54,                 1.1339,                0.54143,                 1.1747,                0.96441,                0.91247,                 0.9634,                 0.6114,                 1.2984,                0.54648,                  1.297,               0.006502,               0.006502,               0.006502
                     55,                 1.1338,                0.54179,                 1.1719,                0.94288,                0.92088,                  0.962,                0.61633,                 1.2999,                0.54932,                 1.2711,               0.006436,               0.006436,               0.006436
                     56,                 1.1304,                0.54044,                 1.1761,                0.93417,                0.92088,                0.96553,                0.61845,                 1.2871,                0.53245,                 1.2501,                0.00637,                0.00637,                0.00637
                     57,                 1.1298,                0.53649,                 1.1728,                0.93872,                0.92845,                  0.966,                0.62251,                 1.3014,                0.52632,                 1.2839,               0.006304,               0.006304,               0.006304
                     58,                 1.1229,                0.53337,                 1.1756,                0.92767,                0.92845,                0.96225,                0.62012,                 1.2934,                 0.5293,                 1.2684,               0.006238,               0.006238,               0.006238
                     59,                 1.1118,                0.52726,                 1.1666,                0.94726,                0.93603,                0.97215,                0.64428,                  1.272,                0.51911,                 1.2408,               0.006172,               0.006172,               0.006172
                     60,                 1.1269,                0.52952,                 1.1669,                0.95141,                0.92307,                0.96822,                0.62333,                 1.2893,                0.52023,                 1.2475,               0.006106,               0.006106,               0.006106
                     61,                 1.1145,                0.52373,                 1.1612,                0.95244,                0.90741,                0.96518,                0.62102,                  1.315,                0.52904,                 1.2714,                0.00604,                0.00604,                0.00604
                     62,                 1.1125,                0.52497,                 1.1609,                0.94202,                0.92999,                0.96699,                 0.6215,                 1.2748,                0.52108,                 1.2376,               0.005974,               0.005974,               0.005974
                     63,                 1.0968,                 0.5219,                 1.1495,                0.96304,                0.92256,                0.97322,                0.63259,                 1.2643,                0.51131,                 1.2502,               0.005908,               0.005908,               0.005908
                     64,                 1.1105,                 0.5245,                 1.1612,                0.93585,                0.93266,                0.96627,                0.61964,                 1.2879,                0.54008,                 1.2601,               0.005842,               0.005842,               0.005842
                     65,                 1.0947,                0.51366,                 1.1513,                0.95837,                0.92929,                 0.9687,                0.62702,                 1.2697,                0.51471,                 1.2537,               0.005776,               0.005776,               0.005776
                     66,                 1.1033,                 0.5195,                 1.1564,                0.94427,                0.94134,                0.96941,                0.62564,                  1.302,                 0.5274,                 1.2775,                0.00571,                0.00571,                0.00571
                     67,                 1.0878,                0.51254,                 1.1474,                0.95865,                0.93771,                0.97112,                0.62601,                 1.3009,                 0.5206,                 1.2599,               0.005644,               0.005644,               0.005644
                     68,                 1.0892,                0.51336,                 1.1474,                0.94744,                0.94071,                 0.9736,                0.63121,                 1.2942,                0.50696,                 1.2725,               0.005578,               0.005578,               0.005578
                     69,                 1.0927,                0.50518,                 1.1427,                0.95225,                0.94002,                0.97584,                0.62541,                 1.2914,                0.51196,                 1.2529,               0.005512,               0.005512,               0.005512
                     70,                 1.0898,                0.50773,                 1.1408,                0.94903,                0.92761,                0.97059,                0.63644,                 1.2814,                  0.512,                 1.2489,               0.005446,               0.005446,               0.005446
                     71,                 1.0811,                0.50631,                 1.1377,                0.95482,                0.94444,                0.97575,                0.64038,                  1.271,                0.49095,                 1.2504,                0.00538,                0.00538,                0.00538
                     72,                 1.0839,                0.50394,                 1.1403,                0.95459,                0.94781,                0.97626,                  0.625,                  1.262,                0.49281,                 1.2621,               0.005314,               0.005314,               0.005314
                     73,                 1.0705,                0.49904,                 1.1374,                0.95719,                0.93771,                0.97015,                0.63974,                 1.2742,                0.50382,                 1.2572,               0.005248,               0.005248,               0.005248
                     74,                 1.0756,                0.49979,                 1.1317,                0.95831,                0.92864,                0.96928,                0.62884,                 1.2897,                0.50408,                 1.2607,               0.005182,               0.005182,               0.005182
                     75,                 1.0763,                0.49926,                 1.1324,                0.95834,                0.92946,                0.96949,                0.62898,                 1.2866,                0.50695,                 1.2625,               0.005116,               0.005116,               0.005116
                     76,                 1.0653,                0.49746,                 1.1298,                 0.9537,                0.94444,                0.97367,                0.63763,                 1.2746,                0.49033,                 1.2553,                0.00505,                0.00505,                0.00505
                     77,                  1.063,                0.49493,                 1.1272,                0.95367,                0.94276,                0.97311,                0.62703,                 1.2797,                0.51202,                 1.2629,               0.004984,               0.004984,               0.004984
