                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8301,                 3.0362,                  1.738,                0.39964,                0.36532,                 0.3063,                0.13619,                 1.8005,                 2.8302,                 1.6426,               0.070067,              0.0033259,              0.0033259
                      1,                 1.6592,                 1.6549,                 1.5597,                0.48155,                0.15993,                 0.1819,                0.10412,                  1.893,                 3.5716,                 2.0002,               0.040023,              0.0066153,              0.0066153
                      2,                 1.6205,                 1.4992,                   1.55,                0.52266,                0.34512,                0.36638,                0.18569,                 1.8576,                 2.1917,                 1.7579,              0.0099348,              0.0098607,              0.0098607
                      3,                 1.5935,                 1.3766,                 1.5403,                0.77645,                0.61981,                 0.7093,                0.38812,                 1.5916,                 1.4547,                 1.5229,               0.009802,               0.009802,               0.009802
                      4,                 1.5658,                 1.2387,                 1.5231,                0.78856,                0.74411,                0.81192,                0.46279,                 1.4786,                  1.039,                 1.4289,               0.009802,               0.009802,               0.009802
                      5,                 1.5182,                 1.1303,                 1.4914,                0.84452,                0.70411,                0.80394,                0.46339,                 1.4697,                 1.0644,                 1.4193,               0.009736,               0.009736,               0.009736
                      6,                 1.4958,                 1.0316,                  1.469,                0.71488,                0.37879,                0.46049,                0.26941,                 1.7308,                 2.1466,                   1.63,                0.00967,                0.00967,                0.00967
                      7,                 1.4776,                0.99769,                 1.4489,                0.89432,                0.79781,                0.90242,                0.53252,                 1.4135,                0.85348,                 1.3665,               0.009604,               0.009604,               0.009604
                      8,                 1.4453,                0.94944,                 1.4247,                0.87871,                0.77104,                0.87685,                0.50892,                 1.4405,                 0.8786,                 1.3709,               0.009538,               0.009538,               0.009538
                      9,                 1.4286,                0.89988,                 1.4132,                0.85525,                0.72612,                0.82155,                0.46848,                 1.4938,                 1.0301,                 1.4038,               0.009472,               0.009472,               0.009472
                     10,                 1.4102,                0.87293,                 1.4032,                0.91804,                0.81085,                0.90944,                0.51967,                 1.4289,                0.81415,                 1.3662,               0.009406,               0.009406,               0.009406
                     11,                 1.3931,                0.84942,                 1.3925,                0.91764,                0.79461,                0.90787,                 0.5199,                 1.4354,                0.79412,                 1.4097,                0.00934,                0.00934,                0.00934
