                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.705,                 2.6634,                 1.4913,                0.65147,                0.15657,                0.19724,                0.08983,                 2.0748,                 3.7648,                 2.0683,                 0.0701,              0.0033222,              0.0033222
                      1,                 1.5654,                 1.4085,                 1.3785,                0.81875,                0.64646,                0.74174,                 0.4051,                 1.6386,                 1.2958,                 1.4155,               0.040067,              0.0066226,              0.0066226
                      2,                 1.5457,                 1.3157,                 1.3671,                0.69662,                0.55278,                0.60788,                0.32947,                 1.6574,                 1.7035,                 1.4573,               0.010001,                0.00989,                0.00989
                      3,                 1.5493,                 1.2298,                 1.3661,                0.80624,                0.75589,                0.84101,                0.45599,                 1.5613,                 1.1037,                 1.3475,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.5154,                 1.1232,                 1.3557,                  0.876,                 0.7017,                0.81231,                0.45271,                 1.5448,                 1.0926,                 1.3708,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.484,                  1.042,                 1.3328,                0.85519,                0.81522,                0.89654,                0.51477,                 1.4963,                0.91872,                 1.3243,               0.009802,               0.009802,               0.009802
                      6,                  1.459,                0.95992,                   1.32,                0.85056,                0.78283,                0.87074,                0.49676,                 1.4853,                 1.0098,                 1.3299,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4392,                0.92448,                 1.3092,                0.89146,                0.78814,                0.89313,                0.50003,                 1.5232,                 0.8933,                 1.3442,               0.009703,               0.009703,               0.009703
                      8,                 1.4163,                 0.8814,                 1.2898,                0.90312,                0.80135,                0.89613,                0.51341,                 1.5058,                0.86811,                 1.3299,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4057,                0.85101,                 1.2825,                0.87317,                0.75421,                 0.8427,                0.47732,                 1.4866,                0.94198,                  1.324,               0.009604,               0.009604,               0.009604
                     10,                  1.386,                0.82478,                 1.2744,                0.89603,                  0.827,                0.92088,                0.54637,                 1.4512,                0.80485,                 1.3043,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3682,                0.79543,                 1.2604,                0.89737,                0.80471,                0.90735,                 0.5387,                 1.4265,                0.80048,                 1.2704,               0.009505,               0.009505,               0.009505
                     12,                 1.3671,                0.79057,                 1.2631,                0.89951,                0.84384,                0.93017,                0.54749,                 1.4433,                0.76146,                 1.2795,              0.0094555,              0.0094555,              0.0094555
