                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2926,                0.69552,                 1.2377,                0.84074,                0.79845,                0.88422,                0.50921,                  1.524,                0.84699,                 1.4014,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.2837,                0.68562,                 1.2293,                0.89296,                0.78131,                0.89089,                0.52629,                 1.4877,                0.80121,                 1.3698,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.2867,                0.68334,                 1.2325,                0.86178,                0.78227,                0.88123,                0.51686,                 1.5067,                0.82683,                 1.3892,               0.009307,               0.009307,               0.009307
                     37,                 1.2868,                0.68733,                 1.2328,                 0.8177,                0.82535,                0.87983,                0.51595,                 1.5096,                0.86347,                 1.3932,              0.0092872,              0.0092872,              0.0092872
                     38,                  1.276,                0.68639,                 1.2329,                0.87322,                0.80829,                0.88805,                0.52134,                 1.4973,                0.81757,                 1.3919,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.2807,                0.67304,                 1.2282,                 0.8611,                0.83018,                 0.8883,                0.51822,                 1.5119,                0.80892,                  1.398,              0.0092476,              0.0092476,              0.0092476
                     40,                  1.279,                0.67294,                 1.2259,                0.84516,                0.79769,                0.88339,                0.52096,                  1.501,                 0.8366,                   1.38,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.2686,                0.66373,                 1.2121,                0.87566,                 0.8343,                0.91069,                0.54193,                 1.4676,                0.76321,                 1.3633,               0.009208,               0.009208,               0.009208
                     42,                 1.2569,                0.65852,                 1.2153,                0.89012,                 0.8131,                 0.9076,                0.53013,                 1.4909,                0.78562,                 1.3806,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.2634,                0.65931,                 1.2167,                0.87758,                 0.7948,                0.89195,                0.52518,                 1.4708,                0.76189,                 1.3644,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.2592,                0.65305,                 1.2116,                0.84127,                0.82948,                0.85021,                0.49247,                 1.4717,                0.78388,                 1.3535,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.2559,                0.65048,                 1.2127,                0.84031,                0.83719,                0.89168,                0.53306,                 1.4498,                0.77477,                 1.3549,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.2529,                0.64864,                 1.2136,                0.86431,                0.82846,                0.87593,                0.51343,                  1.469,                0.74348,                  1.359,               0.009109,               0.009109,               0.009109
                     47,                 1.2357,                0.63699,                 1.2006,                0.84374,                0.83622,                0.89127,                0.52915,                 1.4642,                0.77607,                  1.353,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.2416,                0.63691,                 1.2118,                0.85386,                 0.8343,                0.86989,                0.50507,                 1.4693,                0.75331,                  1.369,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.2376,                0.63606,                 1.2029,                 0.8549,                0.83442,                0.88437,                 0.5156,                 1.4478,                0.73898,                 1.3418,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.2409,                0.63865,                 1.2006,                0.88362,                0.85581,                0.92409,                0.54983,                 1.4282,                0.74122,                 1.3307,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.2338,                0.62648,                 1.2025,                0.83648,                0.85453,                0.89955,                0.53679,                 1.4385,                0.73706,                 1.3449,                0.00901,                0.00901,                0.00901
                     52,                 1.2355,                0.63542,                 1.2028,                 0.8466,                 0.8632,                0.90749,                 0.5384,                 1.4417,                0.72735,                 1.3417,              0.0089902,              0.0089902,              0.0089902
                     53,                  1.227,                0.63376,                 1.1955,                 0.8865,                0.85549,                0.92339,                0.55335,                  1.424,                0.71242,                 1.3465,              0.0089704,              0.0089704,              0.0089704
                     54,                  1.229,                0.62403,                 1.1983,                0.88618,                 0.8476,                0.91659,                0.55058,                  1.447,                 0.6938,                 1.3552,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.2225,                0.62144,                 1.1951,                0.86595,                0.85356,                0.91168,                0.55426,                 1.4229,                0.72488,                  1.334,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2181,                0.61618,                 1.1963,                0.83796,                0.84696,                0.87098,                0.51717,                 1.4125,                0.71646,                  1.324,               0.008911,               0.008911,               0.008911
                     57,                 1.2194,                0.62128,                 1.1949,                0.87389,                0.86609,                0.90398,                0.53775,                 1.4228,                0.72458,                 1.3328,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.2093,                 0.6044,                 1.1873,                0.88671,                0.86609,                0.91099,                0.54636,                 1.4152,                0.69038,                 1.3338,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.2161,                  0.613,                   1.19,                0.86118,                0.86513,                0.88946,                0.51874,                 1.4401,                0.70365,                 1.3411,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.2151,                0.61482,                 1.1881,                0.88742,                0.86573,                 0.9196,                0.56145,                  1.401,                 0.6791,                  1.313,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.2101,                0.60973,                 1.1802,                0.88249,                0.86898,                0.91566,                0.56053,                 1.3906,                0.66759,                 1.3034,               0.008812,               0.008812,               0.008812
